"nome","resumo","coordenador"
"MONITORIA DA DISCIPLINA HISTOLOGIA (CIE) IBRAG08-06554","Em breve este conteúdo estará disponível.","Bruna Romana De Souza "
"ANATOMIA HUMANA","Em breve este conteúdo estará disponível.","Diego Pinheiro Aguiar "
"EMRBIOLOGIA","Em breve este conteúdo estará disponível.","Diego Pinheiro Aguiar "
"CIÊNCIA EM MINUTOS","Em breve este conteúdo estará disponível.","Diego Pinheiro Aguiar "
"MONITORIA DE NEUROANATOMIA","Em breve este conteúdo estará disponível.","Diogo Benchimol De Souza "
"MONITORIA DE ANATOMIA I PARA ODONTOLOGIA","Em breve este conteúdo estará disponível.","Luiz Eduardo De Macedo Cardoso "
"MONITORIA ANATOMIA HUMANA PARA CIÊNCIAS BIOLÓGICAS","Em breve este conteúdo estará disponível.","Sandra Barbosa Da Silva "
